message,_col1
java.lang.reflect.Constructor#newInstance(Object\[\]),2138426.0
java.util.Hashtable#get(Object),2127143.0
java.lang.Class#toString(),2125540.0
java.util.Vector#add(Object),2115161.0
java.io.StringReader#StringReader(String),2101633.0
java.io.File#getPath(),2092921.0
java.lang.System#identityHashCode(Object),2092213.0
java.util.stream.Stream#count(),2065748.0
java.util.concurrent.CompletableFuture#complete(Object),2064673.0
"java.nio.file.Files#exists(Path,LinkOption\[\])",2058235.0
"java.util.List#set(int,Object)",2050215.0
java.util.concurrent.atomic.AtomicLong#AtomicLong(long),2033100.0
java.util.Optional#orElseGet(Supplier),2032281.0
java.lang.Class#forName(String),2024270.0
"java.lang.String#replace(char,char)",2014105.0
java.util.Enumeration#nextElement(),1980944.0
"java.lang.Class#getMethod(String,Class\[\])",1980288.0
java.nio.file.Path#toAbsolutePath(),1976641.0
java.util.Enumeration#hasMoreElements(),1973360.0
java.lang.Class#cast(Object),1969516.0
java.util.concurrent.atomic.AtomicBoolean#AtomicBoolean(boolean),1935610.0
java.math.BigDecimal#doubleValue(),1932251.0
java.util.UUID#fromString(String),1921297.0
java.lang.System#exit(int),1920901.0
"java.util.List#add(int,Object)",1918867.0
java.lang.Boolean#valueOf(boolean),1903387.0
java.sql.Timestamp#getTime(),1892965.0
java.nio.Buffer#remaining(),1880849.0
java.net.URL#URL(String),1874436.0
java.net.URI#URI(String),1869320.0
java.util.Objects#hashCode(Object),1862926.0
java.util.Set#clear(),1858045.0
java.io.File#isDirectory(),1857106.0
java.time.Duration#toMillis(),1843032.0
java.nio.ByteBuffer#allocate(int),1842426.0
java.math.BigDecimal#toString(),1839953.0
java.lang.Class#getResourceAsStream(String),1834344.0
java.util.logging.Logger#getLogger(String),1834316.0
java.lang.String#toLowerCase(Locale),1831931.0
java.util.concurrent.CompletableFuture#completeExceptionally(Throwable),1831551.0
java.util.stream.Stream#findAny(),1779562.0
java.util.concurrent.CompletableFuture#completedFuture(Object),1779460.0
java.util.stream.Stream#of(Object),1773264.0
"java.util.Map#of(Object,Object,Object,Object)",1763600.0
"java.util.Collections#sort(List,Comparator)",1752662.0
java.lang.Thread#Thread(Runnable),1749799.0
java.lang.String#lastIndexOf(int),1738226.0
java.io.UncheckedIOException#UncheckedIOException(IOException),1724526.0
java.util.LinkedHashSet#LinkedHashSet(Collection),1721231.0
java.sql.PreparedStatement#executeUpdate(),1719824.0
java.time.ZoneId#of(String),1711228.0
java.util.concurrent.atomic.AtomicLong#addAndGet(long),1702367.0
java.nio.ByteBuffer#wrap(byte\[\]),1697799.0
java.util.List#indexOf(Object),1685798.0
java.util.Collections#unmodifiableMap(Map),1683071.0
java.lang.Long#Long(long),1682515.0
java.util.StringTokenizer#nextToken(),1679067.0
"java.lang.String#join(CharSequence,CharSequence\[\])",1678587.0
java.io.StringWriter#toString(),1667078.0
java.lang.Integer#toHexString(int),1665804.0
java.lang.Long#intValue(),1663709.0
"java.text.MessageFormat#format(String,Object\[\])",1663340.0
"java.lang.Exception#Exception(String,Throwable)",1662536.0
java.util.stream.Stream#toArray(IntFunction),1659658.0
java.util.List#sort(Comparator),1650422.0
java.util.LinkedHashMap#get(Object),1644763.0
"java.sql.PreparedStatement#setLong(int,long)",1644125.0
java.lang.Iterable#iterator(),1639842.0
java.math.BigInteger#or(BigInteger),1639512.0
"java.time.LocalDateTime#of(int,int,int,int,int,int)",1629881.0
java.time.Instant#toEpochMilli(),1623443.0
"java.math.BigDecimal#setScale(int,RoundingMode)",1623035.0
java.lang.Class#isInstance(Object),1607120.0
java.util.regex.Pattern#compile(String),1606845.0
java.util.Calendar#getTimeInMillis(),1603240.0
java.lang.Class#getResource(String),1601122.0
java.util.concurrent.Executor#execute(Runnable),1592367.0
java.util.concurrent.locks.Lock#unlock(),1590316.0
java.lang.AssertionError#AssertionError(Object),1583450.0
java.util.ArrayList#addAll(Collection),1582606.0
java.io.File#mkdirs(),1570446.0
java.time.Duration#ofMinutes(long),1561747.0
java.time.format.DateTimeFormatter#ofPattern(String),1560293.0
java.lang.Throwable#getLocalizedMessage(),1551864.0
"java.lang.StringBuilder#delete(int,int)",1539824.0
java.util.Vector#size(),1534787.0
java.lang.String#String(String),1525775.0
java.util.ArrayList#isEmpty(),1524158.0
java.util.Collection#removeIf(Predicate),1522571.0
java.util.HashSet#HashSet(int),1520769.0
"java.util.Set#of(Object,Object)",1514996.0
java.util.Collections#unmodifiableSet(Set),1510349.0
java.sql.Connection#createStatement(),1509594.0
java.math.BigDecimal#subtract(BigDecimal),1502834.0
java.util.Date#from(Instant),1499860.0
java.lang.StringBuffer#append(char),1498342.0
java.util.Locale#forLanguageTag(String),1495661.0
java.io.DataInput#readLong(),1494951.0
java.util.Collections#sort(List),1491513.0
java.io.DataOutput#writeLong(long),1483727.0
"java.util.function.BiFunction#apply(Object,Object)",1480670.0
java.lang.String#lastIndexOf(String),1477879.0
java.util.Optional#filter(Predicate),1468992.0
java.lang.StringBuilder#append(ObjectString),1465329.0
java.lang.StringBuffer#append(Object),1465247.0
java.io.File#getParentFile(),1457858.0
java.util.stream.Stream#allMatch(Predicate),1457687.0
java.sql.ResultSet#getTimestamp(String),1441044.0
java.util.Calendar#setTime(Date),1432027.0
java.util.concurrent.CompletionStage#toCompletableFuture(),1429848.0
java.util.concurrent.locks.Lock#lock(),1421876.0
java.lang.reflect.Field#get(Object),1416498.0
java.io.InputStream#close(),1415048.0
java.math.BigInteger#BigInteger(String),1413583.0
java.lang.Class#getDeclaredField(String),1412837.0
java.io.InputStreamReader#InputStreamReader(InputStream),1411124.0
java.lang.Runtime#getRuntime(),1403392.0
java.lang.Class#getDeclaredConstructor(Class\[\]),1400334.0
java.lang.AbstractStringBuilder#setLength(int),1385564.0
java.nio.Buffer#position(),1377173.0
java.nio.file.Path#getFileName(),1375991.0
java.util.List#toArray(),1364299.0
java.lang.CharSequence#length(),1363513.0
java.util.stream.Stream#distinct(),1355425.0
"java.lang.String#format(ObjectString,Object\[\])",1339716.0
java.net.URL#toURI(),1309196.0
java.util.Queue#poll(),1303717.0
java.lang.Thread#getContextClassLoader(),1302563.0
java.lang.String#valueOf(boolean),1299645.0
"java.util.Calendar#add(int,int)",1298282.0
java.util.HashMap#entrySet(),1296046.0
java.util.stream.IntStream#mapToObj(IntFunction),1291637.0
